,Load Target (%)
95500,93.33738735193197
95750,93.33738735193197
96000,93.33738735193197
96250,93.33738735193197
96500,93.33738735193197
96750,93.33738735193197
97000,93.33738735193197
97250,93.33738735193197
97500,93.12301653920731
97750,93.12301653920731
98000,93.12301653920731
98250,93.12301653920731
98500,93.12301653920731
98750,93.12301653920731
99000,93.12301653920731
99250,93.12301653920731
99500,90.95840509582244
99750,90.95840509582244
100000,90.95840509582244
100250,90.95840509582244
100500,90.95840509582244
100750,90.95840509582244
101000,90.95840509582244
101250,90.95840509582244
101500,90.95840509582244
101750,90.95840509582244
102000,90.39643092186104
102250,90.39643092186104
102500,90.39643092186104
102750,90.39643092186104
103000,90.39643092186104
103250,90.39643092186104
103500,90.39643092186104
103750,90.39643092186104
104000,90.39643092186104
104250,90.39643092186104
104500,87.93792064272513
104750,87.93792064272513
105000,87.93792064272513
105250,87.93792064272513
105500,87.93792064272513
105750,87.93792064272513
106000,87.93792064272513
106250,87.93792064272513
106500,83.55550015825042
106750,83.55550015825042
107000,83.55550015825042
107250,83.55550015825042
107500,83.55550015825042
107750,83.55550015825042
108000,83.55550015825042
108250,86.49419032294826
108500,86.49419032294826
108750,82.18715298140968
109000,82.18715298140968
109250,79.97468159165909
109500,79.97468159165909
109750,79.97468159165909
110000,79.97468159165909
110250,77.81015960611788
110500,77.81015960611788
110750,77.81015960611788
111000,77.81015960611788
111250,77.81015960611788
111500,77.81015960611788
111750,84.89009190874475
112000,84.89009190874475
112250,84.89009190874475
112500,84.89009190874475
112750,78.85153836432937
113000,78.85153836432937
113250,82.69894130506985
113500,82.69894130506985
113750,82.69894130506985
114000,82.69894130506985
114250,60.36200358308746
114500,60.36200358308746
114750,60.36200358308746
115000,60.36200358308746
115250,68.27055407238734
115500,62.49936020343294
115750,74.04156902565438
116000,58.75874010875825
116250,76.33917446330159
116500,76.33917446330159
116750,76.33917446330159
117000,76.33917446330159
117250,79.491430320131
117500,79.491430320131
117750,79.491430320131
118000,79.491430320131
118250,84.14037554019242
118500,84.14037554019242
118750,84.14037554019242
119000,85.74316190602204
119250,85.74316190602204
119500,85.74316190602204
119750,87.49270343840946
120000,87.49270343840946
120250,87.49270343840946
120500,87.49270343840946
120750,87.49270343840946
121000,87.49270343840946
121250,87.49270343840946
121500,87.49270343840946
121750,87.49270343840946
122000,88.25343845736407
122250,88.25343845736407
122500,88.25343845736407
